,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('elon', 0.14197882), ('navigate', 0.14094847), ('feature', 0.14079922), ('self', 0.13500604), ('full', 0.13486725), ('via', 0.027743543), ('technology', 0.014210063), ('new', 0.014210017), ('verge', 0.014209913), ('theverge', 0.014209731)]",26.0,0.6842
1.0,1,"[('driver', 0.06479702), ('tesla', 0.060980327), ('idiot', 0.060978346), ('dangerous', 0.060978297), ('sleeps', 0.060978092), ('via', 0.026013259), ('dms', 0.025951197), ('become', 0.025845252), ('systems', 0.02559405), ('road', 0.025270533)]",3.0,0.0789
2.0,2,"[('tesla', 0.04572353), ('said', 0.031284932), ('autonomous', 0.028239748), ('likely', 0.027927153), ('without', 0.027761405), ('characterized', 0.02768274), ('musk', 0.027323186), ('elon', 0.026609467), ('self', 0.026031064), ('also', 0.025917728)]",,
3.0,3,"[('full', 0.06951352), ('self', 0.06582748), ('elon', 0.06448752), ('feature', 0.047408335), ('navigate', 0.046640746), ('tesla', 0.04230025), ('likely', 0.03182684), ('end', 0.025561947), ('human', 0.025146421), ('also', 0.024164788)]",1.0,0.0263
4.0,4,"[('navigate', 0.010329284), ('self', 0.010322168), ('full', 0.010321504), ('feature', 0.010321335), ('elon', 0.010320906), ('tesla', 0.01031051), ('tech', 0.010310174), ('theverge', 0.010309659), ('sleeps', 0.010309598), ('idiot', 0.01030956)]",,
5.0,5,"[('navigate', 0.07006949), ('feature', 0.07006482), ('full', 0.070064165), ('self', 0.07006413), ('elon', 0.07006411), ('check', 0.070056476), ('tesla', 0.006370599), ('idiot', 0.00637026), ('via', 0.0063701845), ('theverge', 0.00637015)]",,
6.0,6,"[('full', 0.09600829), ('navigate', 0.09403493), ('self', 0.0913403), ('elon', 0.08095428), ('feature', 0.069796875), ('smartnews', 0.045516334), ('seo', 0.02359764), ('car', 0.021596339), ('highway', 0.019853245), ('drive', 0.019590639)]",1.0,0.0263
7.0,7,"[('self', 0.077131614), ('full', 0.075393684), ('feature', 0.051388275), ('navigate', 0.047717307), ('elon', 0.04637645), ('tesla', 0.031698138), ('vehicles', 0.031698108), ('mean', 0.03169805), ('take', 0.031698007), ('musk', 0.031697966)]",1.0,0.0263
8.0,8,"[('self', 0.07865397), ('feature', 0.07865337), ('navigate', 0.07865302), ('elon', 0.0786506), ('full', 0.07865042), ('tech', 0.041197512), ('tsla', 0.041196678), ('fraud', 0.041196547), ('emhivemind', 0.041196335), ('technology', 0.041196175)]",2.0,0.0526
9.0,9,"[('self', 0.09586647), ('navigate', 0.077383704), ('full', 0.07723446), ('feature', 0.067793), ('elon', 0.06609761), ('tech', 0.054868806), ('tesla', 0.01946976), ('theverge', 0.019469623), ('breaking', 0.01946955), ('mode', 0.019469507)]",4.0,0.1053
